location_key,tipo_corregido,tipo_regla,ops_actuales,seg_actuales,total_actual,total_esperado,diferencia,estado
71 - Centrito Valle,LOCAL,LOCAL_4_4,5,5,10,8,2,⚠️ EXCESO (+2)
72 - Sabinas Hidalgo,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
73 - Anzalduas,LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
74 - Hidalgo (Reynosa),LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
75 - Libramiento (Reynosa),LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
76 - Aeropuerto (Reynosa),LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
77 - Boulevard Morelos,LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
78 - Alcala,LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
79 - Rio Bravo,LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
80 - Guerrero 2 (Ruelas),LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
81 - Reforma (Ruelas),LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
